X-point locations.
FORMAT:
YEAR    DAY    HOUR    MIN    TOTAL_RATE   LORRENZ_RATE    WINDING_RATE    ALIGNED_RATE    DISTANCE
2018    238      17     30        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      17     35        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      17     40        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      17     45        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      17     50        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      17     55        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      18      0        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      18      5        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      18     10        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      18     15        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      18     20        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      18     25        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      18     30        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      18     35        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      18     40        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      18     45        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      18     50        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      18     55        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      19      0        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      19      5        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      19     10        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      19     15        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      19     20        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      19     25        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      19     30        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      19     35        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      19     40        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      19     45        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      19     50        0.3386        0.0000        0.0000        0.3386    10.099
2018    238      19     55        0.3227        0.0000        0.0000        0.3227    10.353
2018    238      20      0        0.3395        0.0000        0.0000        0.3395    10.218
2018    238      20      5        0.2771        0.0000        0.0000        0.2771    10.214
2018    238      20     10        0.3462        0.0000        0.0000        0.3462    10.014
2018    238      20     15        0.2423        0.0000        0.0000        0.2423    10.206
2018    238      20     20        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      20     25        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      20     30        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      20     35        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      20     40        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      20     45        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      20     50        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      20     55        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      21      0        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      21      5        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      21     10        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      21     15        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      21     20        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      21     25        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      21     30        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      21     35        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      21     40        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      21     45        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      21     50        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      21     55        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      22      0        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      22      5        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      22     10        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      22     15        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      22     20        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      22     25        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      22     30        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      22     35        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      22     40        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      22     45        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      22     50        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      22     55        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      23      0        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      23      5        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      23     10        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      23     15        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      23     20        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      23     25        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      23     30        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      23     35        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      23     40        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      23     45        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      23     50        0.0000        0.0000        0.0000        0.0000    13.416
2018    238      23     55        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       0      0        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       0      5        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       0     10        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       0     15        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       0     20        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       0     25        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       0     30        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       0     35        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       0     40        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       0     45        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       0     50        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       0     55        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       1      0        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       1      5        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       1     10        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       1     15        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       1     20        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       1     25        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       1     30        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       1     35        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       1     40        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       1     45        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       1     50        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       1     55        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       2      0        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       2      5        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       2     10        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       2     15        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       2     20        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       2     25        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       2     30        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       2     35        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       2     40        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       2     45        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       2     50        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       2     55        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       3      0        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       3      5        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       3     10        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       3     15        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       3     20        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       3     25        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       3     30        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       3     35        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       3     40        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       3     45        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       3     50        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       3     55        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       4      0        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       4      5        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       4     10        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       4     15        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       4     20        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       4     25        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       4     30        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       4     35        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       4     40        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       4     45        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       4     50        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       4     55        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       5      0        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       5      5        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       5     10        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       5     15        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       5     20        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       5     25        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       5     30        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       5     35        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       5     40        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       5     45        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       5     50        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       5     55        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       6      0        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       6      5        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       6     10        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       6     15        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       6     20        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       6     25        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       6     30        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       6     35        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       6     40        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       6     45        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       6     50        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       6     55        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       7      0        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       7      5        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       7     10        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       7     15        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       7     20        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       7     25        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       7     30        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       7     35        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       7     40        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       7     45        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       7     50        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       7     55        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       8      0        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       8      5        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       8     10        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       8     15        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       8     20        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       8     25        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       8     30        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       8     35        0.0000        0.0000        0.0000        0.0000    13.416
2018    239       8     40        0.0000        0.0000        0.0000        0.0000    13.416
